att_proxy,confidence_threshold,intervention_rate,kind,llm_calls,llm_failures,mean_queue,name,safety_adjustments
1.165234375,0.05,0.25,baseline,480,0,0.03884114583333332,baseline,482
1.165234375,0.05,0.25,risk_weight_sensitivity,480,0,0.03884114583333332,weight_uncertainty_0.5x,482
1.165234375,0.05,0.25,risk_weight_sensitivity,480,0,0.03884114583333332,weight_uncertainty_1.5x,482
1.165234375,0.05,0.25,risk_weight_sensitivity,480,0,0.03884114583333332,weight_anomaly_0.5x,482
1.165234375,0.05,0.25,risk_weight_sensitivity,480,0,0.03884114583333332,weight_anomaly_1.5x,482
1.165234375,0.05,0.25,risk_weight_sensitivity,480,0,0.03884114583333332,weight_queue_0.5x,482
1.165234375,0.05,0.25,risk_weight_sensitivity,480,0,0.03884114583333332,weight_queue_1.5x,482
1.165234375,0.05,0.25,risk_weight_sensitivity,480,0,0.03884114583333332,weight_waiting_0.5x,482
1.165234375,0.05,0.25,risk_weight_sensitivity,480,0,0.03884114583333332,weight_waiting_1.5x,482
1.165234375,0.05,0.25,risk_weight_sensitivity,480,0,0.03884114583333332,weight_safety_0.5x,482
1.165234375,0.05,0.25,risk_weight_sensitivity,480,0,0.03884114583333332,weight_safety_1.5x,482
1.165234375,0.01,0.25,threshold_sweep,480,0,0.03884114583333332,tau_0.01,482
1.165234375,0.02,0.25,threshold_sweep,480,0,0.03884114583333332,tau_0.02,482
1.165234375,0.05,0.25,threshold_sweep,480,0,0.03884114583333332,tau_0.05,482
1.165234375,0.1,0.25,threshold_sweep,480,0,0.03884114583333332,tau_0.10,482
1.165234375,0.2,0.25,threshold_sweep,480,0,0.03884114583333332,tau_0.20,482
1.165234375,0.05,0.25,failure_injection,480,46,0.03884114583333332,failure_0.10,482
1.165234375,0.05,0.25,failure_injection,480,155,0.03884114583333332,failure_0.30,482
1.165234375,0.05,0.25,failure_injection,480,235,0.03884114583333332,failure_0.50,482
1.165234375,0.05,0.25,failure_injection,480,480,0.03884114583333332,failure_1.00,482
1.165234375,0.05,0.0625,intervention_rate,120,0,0.03884114583333332,k_rate_0.01,482
1.165234375,0.05,0.0625,intervention_rate,120,0,0.03884114583333332,k_rate_0.02,482
1.165234375,0.05,0.0625,intervention_rate,120,0,0.03884114583333332,k_rate_0.05,482
1.165234375,0.05,0.125,intervention_rate,240,0,0.03884114583333332,k_rate_0.10,482
1.165234375,0.05,0.25,intervention_rate,480,0,0.03884114583333332,k_rate_0.20,482
