junction_id,llm_calls,llm_overrides,mean_reward,total_reward
intersection_1_1,12,0,-0.2318,-83.4637
intersection_1_2,12,0,-0.263,-94.6646
intersection_1_3,12,0,-0.328,-118.0758
intersection_2_1,12,0,-0.092,-33.1201
intersection_2_2,12,0,-0.0378,-13.6077
intersection_2_3,12,0,-0.1407,-50.6675
intersection_3_1,12,0,-0.2128,-76.6048
intersection_3_2,12,0,-0.045,-16.199
intersection_3_3,12,0,-0.0983,-35.3962
intersection_4_1,12,0,-0.1358,-48.8702
intersection_4_2,12,0,-0.2177,-78.3735
intersection_4_3,12,0,-0.1709,-61.5396
