junction_id,grid_row,grid_col,mean_reward,total_reward,llm_calls,llm_overrides,override_rate_%
J5,5,10,-0.7334655617049192,-1144.4354599469332,36,8,22.22
J3,2,7,-0.7338733323569393,-857.0628550321428,20,5,25.0
J208,0,1,-0.7340758564786454,-353.6308263991368,4,10,250.0
J6,7,15,-0.7357952959230614,-2096.226896463298,20,2,10.0
J212,7,1,-0.7366914911111071,-526.5265224274244,6,9,150.0
J227,1,0,-0.7369664974570508,-910.8094286878093,16,0,0.0
J20,1,4,-0.7386450564787294,-2240.387015334866,30,5,16.67
J11,1,18,-0.742089000054293,-1429.3516721560472,23,11,47.83
J35,9,13,-0.7439655014476705,-838.2736198515622,42,5,11.9
J119,7,13,-0.7618497795060931,-1144.1202661594277,37,9,24.32
J87,4,10,-0.7655221160506842,-1678.0488953889426,47,6,12.77
J86,2,3,-0.7685625664253698,-1542.7864679933166,9,2,22.22
J41,4,8,-0.7695674565910456,-2100.703498887647,39,12,30.77
J39,1,13,-0.7708700782966753,-1413.2201976620584,37,6,16.22
J245,1,26,-0.7738112106766742,-1279.3245673387366,48,3,6.25
J98,7,4,-0.7746861026537127,-2488.054364916859,14,9,64.29
J150,8,2,-0.7747581160058454,-1579.5199028549073,30,4,13.33
J21,3,5,-0.7825983560296206,-1278.5643068809857,48,13,27.08
J237,3,9,-0.7875142512161086,-2259.883207115383,31,11,35.48
J61,6,7,-0.7913881198779781,-1500.5004839481576,1,10,1000.0
