junction_id,grid_row,grid_col,mean_reward,total_reward,llm_calls,llm_overrides,override_rate_%
J230,7,0,-0.10062668866803293,-1035.493580565619,2,1,50.0
J97,6,4,-0.10935791855297461,-920.9274807919844,6,5,83.33
J190,0,7,-0.12051138292356767,-535.1335330911652,35,5,14.29
J191,1,6,-0.12157653585659323,-786.7480112752519,22,3,13.64
J66,0,10,-0.12274318729605294,-1783.1842120960657,46,11,23.91
J192,3,7,-0.12363766149977273,-1188.7063828843798,37,6,16.22
J115,1,17,-0.12900855073098827,-1438.9324387256195,14,0,0.0
J129,9,6,-0.12909957336931932,-309.97816031599814,25,5,20.0
J138,3,4,-0.13106372006712108,-1869.818300859479,25,9,36.0
J31,2,1,-0.1329704234511785,-1859.980756091739,48,4,8.33
J229,5,0,-0.13579945129926174,-484.0343570160087,11,4,36.36
J14,5,9,-0.13778105602786883,-1942.5566215537883,49,11,22.45
J2,1,19,-0.14352148151751198,-1242.1982847726342,33,7,21.21
J102,2,8,-0.14423079462635457,-1969.8647349874936,18,3,16.67
J23,6,1,-0.1447107756369792,-1536.611118162743,48,2,4.17
J53,7,7,-0.1505431988794037,-801.3615219703627,33,12,36.36
J117,4,12,-0.15261069168735653,-2281.951088524274,5,0,0.0
J240,8,8,-0.15525996189336588,-1392.0075645971817,27,13,48.15
J124,1,5,-0.16399351650467509,-960.644305616351,16,14,87.5
J81,9,15,-0.16502746449064953,-2401.7720042565866,15,2,13.33
