junction_id,llm_calls,llm_overrides,mean_reward,total_reward
J226,2,1,-0.0241,-13.8375
J208,0,0,-0.0011,-0.6563
J145,0,0,-0.0001,-0.0563
J199,1,0,-0.0009,-0.5438
J136,2,1,-0.0003,-0.1875
J19,3,1,-0.0027,-1.5375
J123,2,0,-0.0022,-1.2563
J190,8,4,-0.0001,-0.0563
J93,2,0,-0.0012,-0.675
J235,5,3,-0.0001,-0.075
J66,4,2,-0.0001,-0.0375
J57,5,1,-0.0007,-0.3938
J48,5,4,-0.0003,-0.1688
J29,5,2,-0.0013,-0.75
J38,6,2,-0.0031,-1.8
J75,6,2,-0.0022,-1.275
J84,2,1,-0.0012,-0.6938
J105,3,2,-0.0018,-1.05
J114,6,3,-0.0039,-2.2688
J10,7,3,-0.0013,-0.75
J1,5,2,-0.0007,-0.3938
J46,1,0,-0.0055,-3.1875
J154,2,0,-0.003,-1.725
J163,3,0,-0.0028,-1.6313
J181,7,4,-0.0005,-0.2625
J172,4,0,-0.0006,-0.3375
J217,0,0,-0.0004,-0.225
J244,0,0,-0.0006,-0.3375
J227,0,0,-0.0842,-48.4125
J209,0,0,-0.0111,-6.375
J146,0,0,-0.0036,-2.0625
J200,1,0,-0.0,-0.0188
J20,2,0,-0.0133,-7.65
J124,3,1,-0.0009,-0.5438
J191,2,1,-0.0003,-0.1688
J94,2,0,-0.0061,-3.525
J236,7,2,-0.0,-0.0188
J67,2,0,-0.002,-1.1438
J58,4,1,-0.0054,-3.1313
J49,3,2,-0.0034,-1.9313
J30,3,3,-0.0031,-1.7813
J39,5,2,-0.0065,-3.7313
J76,4,1,-0.0079,-4.5375
J85,6,2,-0.0057,-3.2625
J106,3,1,-0.0073,-4.1812
J115,5,2,-0.0072,-4.125
J11,1,1,-0.0016,-0.9188
J2,6,2,-0.0017,-0.9938
J101,3,2,-0.001,-0.5813
J155,1,0,-0.0048,-2.7563
J164,5,2,-0.0067,-3.8438
J182,4,1,-0.001,-0.6
J173,3,2,-0.0002,-0.1125
