junction_id,llm_calls,llm_overrides,mean_reward,total_reward
intersection_1_1,13,1,-0.189,-68.0373
intersection_1_2,18,0,-0.0416,-14.9617
intersection_1_3,12,0,-0.0254,-9.1482
intersection_1_4,14,0,-0.0999,-35.9561
intersection_2_1,14,0,-0.0411,-14.7899
intersection_2_2,13,1,-0.0312,-11.2255
intersection_2_3,13,1,-0.0228,-8.2127
intersection_2_4,15,2,-0.0502,-18.0565
intersection_3_1,14,0,-0.0079,-2.8603
intersection_3_2,13,0,-0.0034,-1.2309
intersection_3_3,17,1,-0.0404,-14.5592
intersection_3_4,16,1,-0.0412,-14.8234
intersection_4_1,16,1,-0.0097,-3.4846
intersection_4_2,17,0,-0.0965,-34.7457
intersection_4_3,14,1,-0.0353,-12.7098
intersection_4_4,15,2,-0.0614,-22.1053
