junction_id,llm_calls,llm_overrides,mean_reward,total_reward
intersection_1_1,0,0,-0.13,-46.8156
intersection_1_2,3,0,-0.0213,-7.6573
intersection_1_3,0,0,-0.0497,-17.8771
intersection_1_4,3,1,-0.0481,-17.3313
intersection_1_5,2,0,-0.0898,-32.313
intersection_1_6,0,0,-0.0919,-33.0859
intersection_1_7,1,0,-0.0807,-29.0557
intersection_1_8,2,0,-0.0758,-27.2766
intersection_1_9,1,0,-0.0658,-23.6953
intersection_1_10,0,0,-0.0949,-34.1625
intersection_1_11,1,0,-0.0531,-19.1323
intersection_1_12,0,0,-0.0691,-24.8698
intersection_1_13,1,0,-0.0484,-17.4214
intersection_1_14,1,0,-0.081,-29.1667
intersection_1_15,1,0,-0.0486,-17.4828
intersection_1_16,2,0,-0.0909,-32.7161
intersection_1_17,0,0,-0.0327,-11.7875
intersection_1_18,1,0,-0.0636,-22.8823
intersection_1_19,3,0,-0.0485,-17.4448
intersection_1_20,0,0,-0.0928,-33.3958
intersection_1_21,2,1,-0.0358,-12.874
intersection_1_22,0,0,-0.0764,-27.5026
intersection_1_23,2,0,-0.0462,-16.6245
intersection_1_24,1,0,-0.0504,-18.162
intersection_1_25,0,0,-0.0257,-9.2677
intersection_1_26,0,0,-0.0488,-17.5802
intersection_1_27,2,0,-0.0264,-9.5021
intersection_1_28,0,0,-0.1137,-40.9464
intersection_2_1,1,0,-0.1852,-66.6667
intersection_2_2,2,0,-0.0285,-10.25
intersection_2_3,2,0,-0.014,-5.0344
intersection_2_4,4,1,-0.0086,-3.0953
intersection_2_5,0,0,-0.068,-24.4901
intersection_2_6,2,0,-0.0187,-6.7339
intersection_2_7,0,0,-0.0648,-23.3422
intersection_2_8,2,0,-0.0156,-5.6099
intersection_2_9,0,0,-0.0751,-27.0292
intersection_2_10,0,0,-0.0451,-16.2427
intersection_2_11,0,0,-0.078,-28.0948
intersection_2_12,4,1,-0.0348,-12.5219
intersection_2_13,0,0,-0.0857,-30.8531
intersection_2_14,2,0,-0.0474,-17.0495
intersection_2_15,1,0,-0.1017,-36.6094
intersection_2_16,0,0,-0.1455,-52.3958
intersection_2_17,1,0,-0.1094,-39.3901
intersection_2_18,4,0,-0.0302,-10.8891
intersection_2_19,1,1,-0.0973,-35.0307
intersection_2_20,1,1,-0.0969,-34.8891
intersection_2_21,0,0,-0.09,-32.4135
