junction_id,llm_calls,llm_overrides,mean_reward,total_reward
intersection_1_1,0,0,-0.1302,-46.8818
intersection_1_2,0,0,-0.0245,-8.8068
intersection_1_3,1,0,-0.0439,-15.7932
intersection_1_4,2,0,-0.055,-19.787
intersection_1_5,1,0,-0.078,-28.0813
intersection_1_6,0,0,-0.0996,-35.8589
intersection_1_7,4,0,-0.0545,-19.6271
intersection_1_8,0,0,-0.064,-23.0245
intersection_1_9,2,0,-0.0681,-24.5104
intersection_1_10,0,0,-0.0849,-30.5573
intersection_1_11,1,0,-0.1154,-41.5521
intersection_1_12,1,0,-0.0686,-24.6797
intersection_1_13,1,0,-0.0432,-15.5385
intersection_1_14,1,0,-0.0923,-33.2224
intersection_1_15,1,0,-0.0364,-13.1052
intersection_1_16,0,0,-0.0763,-27.4693
intersection_1_17,0,0,-0.0477,-17.1802
intersection_1_18,1,0,-0.0622,-22.3828
intersection_1_19,2,0,-0.0399,-14.35
intersection_1_20,2,0,-0.1121,-40.3458
intersection_1_21,1,0,-0.0274,-9.8516
intersection_1_22,2,0,-0.0727,-26.1625
intersection_1_23,2,0,-0.051,-18.3599
intersection_1_24,0,0,-0.0651,-23.4474
intersection_1_25,3,0,-0.0369,-13.2974
intersection_1_26,0,0,-0.0462,-16.6328
intersection_1_27,1,0,-0.0198,-7.125
intersection_1_28,0,0,-0.1163,-41.863
intersection_2_1,1,0,-0.1807,-65.0641
intersection_2_2,0,0,-0.0328,-11.7948
intersection_2_3,2,0,-0.0108,-3.9031
intersection_2_4,3,1,-0.0092,-3.325
intersection_2_5,0,0,-0.0739,-26.6021
intersection_2_6,2,0,-0.0376,-13.5307
intersection_2_7,0,0,-0.0521,-18.7542
intersection_2_8,1,0,-0.0188,-6.7708
intersection_2_9,1,0,-0.073,-26.2927
intersection_2_10,1,0,-0.0416,-14.9656
intersection_2_11,1,0,-0.0888,-31.9661
intersection_2_12,3,0,-0.0088,-3.1578
intersection_2_13,1,0,-0.0807,-29.0375
intersection_2_14,0,0,-0.0557,-20.0427
intersection_2_15,1,0,-0.1016,-36.5917
intersection_2_16,0,0,-0.1467,-52.801
intersection_2_17,0,0,-0.104,-37.4333
intersection_2_18,3,0,-0.0354,-12.751
intersection_2_19,0,0,-0.1006,-36.2068
intersection_2_20,1,0,-0.0913,-32.8594
intersection_2_21,1,0,-0.0877,-31.5865
intersection_2_22,1,0,-0.0845,-30.4021
intersection_2_23,0,0,-0.0974,-35.0505
intersection_2_24,0,0,-0.0911,-32.812
intersection_2_25,2,0,-0.0668,-24.0651
intersection_2_26,1,0,-0.0459,-16.5089
intersection_2_27,1,0,-0.0569,-20.4807
intersection_2_28,1,0,-0.1826,-65.7328
intersection_3_1,0,0,-0.1231,-44.3094
intersection_3_2,2,0,-0.0095,-3.4188
intersection_3_3,3,0,-0.0079,-2.8589
intersection_3_4,2,0,-0.0218,-7.8469
intersection_3_5,5,0,-0.0059,-2.1068
intersection_3_6,0,0,-0.0395,-14.2203
intersection_3_7,0,0,-0.0186,-6.7089
intersection_3_8,0,0,-0.0564,-20.2896
intersection_3_9,2,0,-0.0099,-3.562
intersection_3_10,0,0,-0.0646,-23.2635
intersection_3_11,3,0,-0.0013,-0.476
intersection_3_12,1,0,-0.0103,-3.6938
intersection_3_13,4,0,-0.0003,-0.0911
intersection_3_14,4,0,-0.002,-0.725
intersection_3_15,4,0,-0.0025,-0.8828
intersection_3_16,4,0,-0.0235,-8.4672
intersection_3_17,7,0,-0.0044,-1.5885
intersection_3_18,5,0,-0.0046,-1.638
intersection_3_19,4,0,-0.0007,-0.2589
intersection_3_20,2,0,-0.0048,-1.7156
intersection_3_21,4,0,-0.001,-0.3703
intersection_3_22,1,0,-0.0031,-1.124
intersection_3_23,5,0,-0.0035,-1.2651
intersection_3_24,4,0,-0.0056,-2.0193
intersection_3_25,2,0,-0.0085,-3.0646
intersection_3_26,1,0,-0.0116,-4.1589
intersection_3_27,0,0,-0.0075,-2.6828
intersection_3_28,0,0,-0.1344,-48.3844
intersection_4_1,2,0,-0.1874,-67.4703
intersection_4_2,4,0,-0.0008,-0.3026
intersection_4_3,4,0,-0.0001,-0.0391
intersection_4_4,5,0,0.0,0.0
intersection_4_5,2,0,-0.0017,-0.6167
intersection_4_6,7,0,-0.0033,-1.1719
intersection_4_7,1,0,-0.0011,-0.4063
intersection_4_8,0,0,-0.0018,-0.6339
intersection_4_9,2,0,-0.0027,-0.9656
intersection_4_10,1,0,-0.0032,-1.1599
intersection_4_11,1,0,-0.0017,-0.6031
intersection_4_12,6,0,-0.0065,-2.3276
intersection_4_13,4,0,-0.002,-0.7177
intersection_4_14,1,0,-0.0015,-0.5349
intersection_4_15,4,0,-0.0009,-0.313
intersection_4_16,4,0,-0.0007,-0.2453
intersection_4_17,5,0,-0.0015,-0.5245
intersection_4_18,5,0,-0.0018,-0.6385
intersection_4_19,5,0,-0.0015,-0.5323
intersection_4_20,4,0,-0.0014,-0.4953
intersection_4_21,6,0,-0.001,-0.3724
intersection_4_22,3,0,-0.0025,-0.9115
intersection_4_23,3,0,-0.0015,-0.5266
intersection_4_24,4,0,-0.0122,-4.4031
