junction_id,llm_calls,llm_overrides,mean_reward,total_reward
intersection_1_1,0,0,-0.1306,-47.0109
intersection_1_2,0,0,-0.0183,-6.5776
intersection_1_3,1,0,-0.0457,-16.438
intersection_1_4,1,1,-0.0512,-18.4203
intersection_1_5,1,1,-0.1052,-37.8698
intersection_1_6,0,0,-0.0939,-33.8172
intersection_1_7,3,0,-0.0623,-22.4432
intersection_1_8,3,0,-0.0677,-24.3609
intersection_1_9,3,0,-0.0739,-26.587
intersection_1_10,2,2,-0.0849,-30.5583
intersection_1_11,1,0,-0.0514,-18.4937
intersection_1_12,1,1,-0.0789,-28.4021
intersection_1_13,0,0,-0.0403,-14.501
intersection_1_14,0,0,-0.0935,-33.6552
intersection_1_15,3,1,-0.0338,-12.1646
intersection_1_16,0,0,-0.0871,-31.3448
intersection_1_17,2,0,-0.0486,-17.5036
intersection_1_18,1,0,-0.0556,-20.026
intersection_1_19,5,2,-0.0289,-10.4208
intersection_1_20,0,0,-0.1098,-39.5146
intersection_1_21,0,0,-0.0281,-10.1203
intersection_1_22,2,0,-0.0784,-28.2333
intersection_1_23,2,1,-0.0403,-14.5089
intersection_1_24,0,0,-0.0446,-16.0542
intersection_1_25,0,0,-0.0273,-9.8219
intersection_1_26,1,0,-0.0584,-21.0359
intersection_1_27,2,1,-0.0211,-7.6057
intersection_1_28,0,0,-0.1146,-41.2573
intersection_2_1,0,0,-0.168,-60.4745
intersection_2_2,0,0,-0.0117,-4.2182
intersection_2_3,0,0,-0.0225,-8.1042
intersection_2_4,4,3,-0.0047,-1.6938
intersection_2_5,1,1,-0.068,-24.4792
intersection_2_6,2,2,-0.019,-6.8578
intersection_2_7,1,1,-0.0535,-19.2766
intersection_2_8,6,1,-0.0056,-2.0302
intersection_2_9,1,0,-0.0793,-28.5479
intersection_2_10,1,1,-0.061,-21.9422
intersection_2_11,0,0,-0.0757,-27.2651
intersection_2_12,4,3,-0.025,-8.9922
intersection_2_13,1,1,-0.09,-32.4167
intersection_2_14,1,0,-0.0537,-19.3219
intersection_2_15,2,1,-0.1085,-39.0443
intersection_2_16,0,0,-0.1467,-52.824
intersection_2_17,1,1,-0.1061,-38.1964
intersection_2_18,4,1,-0.0333,-11.975
intersection_2_19,0,0,-0.1002,-36.074
intersection_2_20,3,1,-0.0818,-29.4432
intersection_2_21,0,0,-0.0978,-35.1911
intersection_2_22,1,0,-0.0995,-35.8276
intersection_2_23,0,0,-0.0837,-30.1354
intersection_2_24,0,0,-0.1086,-39.1078
intersection_2_25,0,0,-0.0696,-25.0391
intersection_2_26,2,2,-0.0315,-11.3396
intersection_2_27,1,0,-0.0471,-16.951
intersection_2_28,0,0,-0.1968,-70.837
intersection_3_1,0,0,-0.123,-44.2958
intersection_3_2,0,0,-0.0135,-4.851
intersection_3_3,5,2,-0.0025,-0.9083
intersection_3_4,2,0,-0.0371,-13.3521
intersection_3_5,2,2,-0.0173,-6.2365
intersection_3_6,0,0,-0.0188,-6.751
intersection_3_7,6,2,-0.0068,-2.4469
intersection_3_8,0,0,-0.075,-26.9953
intersection_3_9,2,0,-0.0036,-1.2938
intersection_3_10,0,0,-0.0602,-21.6589
intersection_3_11,4,1,-0.0016,-0.5875
intersection_3_12,2,0,-0.0239,-8.6104
intersection_3_13,5,0,-0.0004,-0.1365
intersection_3_14,1,0,-0.0019,-0.6953
intersection_3_15,3,0,-0.0014,-0.5182
intersection_3_16,2,1,-0.0037,-1.3276
intersection_3_17,5,1,-0.0031,-1.0995
intersection_3_18,4,0,-0.0042,-1.5099
intersection_3_19,2,1,-0.0008,-0.2865
intersection_3_20,4,0,-0.0044,-1.588
intersection_3_21,3,1,-0.0012,-0.4255
intersection_3_22,4,1,-0.0015,-0.5349
intersection_3_23,4,1,-0.0037,-1.3167
intersection_3_24,3,1,-0.0125,-4.4974
intersection_3_25,2,0,-0.0041,-1.4927
intersection_3_26,0,0,-0.0114,-4.0953
intersection_3_27,0,0,-0.0115,-4.1323
intersection_3_28,0,0,-0.1494,-53.7714
intersection_4_1,1,0,-0.1642,-59.1156
intersection_4_2,2,0,-0.0035,-1.2604
intersection_4_3,6,1,-0.002,-0.7318
intersection_4_4,0,0,-0.0002,-0.0557
intersection_4_5,1,1,-0.0021,-0.774
intersection_4_6,3,1,-0.0041,-1.4635
intersection_4_7,1,1,-0.0016,-0.5818
intersection_4_8,2,0,-0.0021,-0.7432
intersection_4_9,2,0,-0.0024,-0.8646
intersection_4_10,5,0,-0.0036,-1.2781
intersection_4_11,0,0,-0.0016,-0.5693
intersection_4_12,5,0,-0.0003,-0.0943
intersection_4_13,3,0,-0.0006,-0.2214
intersection_4_14,4,0,-0.0015,-0.5536
intersection_4_15,4,0,-0.0015,-0.5281
intersection_4_16,4,1,-0.0008,-0.2953
intersection_4_17,4,0,-0.0012,-0.4302
intersection_4_18,2,1,-0.0028,-0.9964
intersection_4_19,4,0,-0.0009,-0.3307
intersection_4_20,3,0,-0.0021,-0.7484
intersection_4_21,5,1,-0.0007,-0.2474
intersection_4_22,1,1,-0.002,-0.7141
intersection_4_23,5,1,-0.0023,-0.8313
intersection_4_24,4,1,-0.0027,-0.9583
intersection_4_25,2,1,-0.0068,-2.4427
intersection_4_26,4,0,-0.0016,-0.5661
intersection_4_27,1,1,-0.0026,-0.9198
intersection_4_28,1,1,-0.1138,-40.9589
intersection_5_1,0,0,-0.1169,-42.0797
intersection_5_2,3,0,-0.0022,-0.8057
intersection_5_3,0,0,-0.0105,-3.7849
intersection_5_4,6,0,-0.0064,-2.2969
intersection_5_5,1,1,-0.0061,-2.1828
intersection_5_6,0,0,-0.0215,-7.7422
intersection_5_7,4,0,-0.0058,-2.0807
intersection_5_8,1,0,-0.0054,-1.9349
intersection_5_9,1,0,-0.0093,-3.3646
intersection_5_10,2,0,-0.015,-5.3995
intersection_5_11,4,0,-0.0019,-0.6745
intersection_5_12,2,0,-0.0541,-19.4625
intersection_5_13,3,0,-0.0028,-1.0068
intersection_5_14,2,1,-0.0063,-2.2807
intersection_5_15,3,0,-0.0009,-0.3359
intersection_5_16,3,0,-0.0015,-0.5479
intersection_5_17,3,0,-0.0063,-2.2609
intersection_5_18,5,0,-0.0019,-0.6969
intersection_5_19,6,1,-0.0059,-2.1339
intersection_5_20,3,0,-0.0042,-1.5286
intersection_5_21,4,0,-0.0093,-3.3359
intersection_5_22,2,0,-0.0012,-0.4443
intersection_5_23,3,1,-0.0203,-7.3141
intersection_5_24,2,0,-0.0052,-1.8661
intersection_5_25,2,0,-0.0071,-2.5526
intersection_5_26,0,0,-0.0471,-16.9714
intersection_5_27,1,1,-0.0216,-7.776
intersection_5_28,0,0,-0.0894,-32.175
intersection_6_1,0,0,-0.1198,-43.1411
intersection_6_2,1,1,-0.0216,-7.7911
intersection_6_3,2,0,-0.0044,-1.5708
intersection_6_4,2,1,-0.0003,-0.0911
intersection_6_5,0,0,-0.0018,-0.6365
intersection_6_6,2,0,-0.0002,-0.0661
intersection_6_7,0,0,-0.0024,-0.8724
intersection_6_8,1,0,-0.0073,-2.6255
intersection_6_9,0,0,-0.0014,-0.4896
intersection_6_10,1,0,-0.0036,-1.3083
intersection_6_11,0,0,-0.0145,-5.2354
intersection_6_12,3,0,-0.0,-0.013
intersection_6_13,0,0,-0.0015,-0.5365
intersection_6_14,6,1,-0.0007,-0.2458
intersection_6_15,6,4,-0.001,-0.351
intersection_6_16,4,1,-0.0032,-1.1698
intersection_6_17,6,1,-0.0019,-0.6698
intersection_6_18,2,0,-0.0005,-0.1797
intersection_6_19,5,0,-0.0007,-0.2583
intersection_6_20,2,1,-0.0029,-1.0479
intersection_6_21,3,0,-0.0026,-0.9193
intersection_6_22,3,0,-0.0086,-3.0813
intersection_6_23,6,2,-0.0015,-0.551
intersection_6_24,3,0,-0.0022,-0.788
intersection_6_25,4,0,-0.0014,-0.5052
intersection_6_26,2,0,-0.0076,-2.7182
intersection_6_27,1,0,-0.0021,-0.7729
intersection_6_28,1,0,-0.103,-37.076
intersection_7_1,0,0,-0.0399,-14.3557
intersection_7_2,1,1,-0.0126,-4.524
intersection_7_3,0,0,-0.0244,-8.7755
intersection_7_4,1,1,-0.0308,-11.0891
intersection_7_5,0,0,-0.0192,-6.9073
intersection_7_6,0,0,-0.0283,-10.1766
intersection_7_7,1,1,-0.0479,-17.249
intersection_7_8,0,0,-0.027,-9.7323
intersection_7_9,0,0,-0.0613,-22.0615
intersection_7_10,0,0,-0.0416,-14.9667
intersection_7_11,0,0,-0.0242,-8.7063
intersection_7_12,0,0,-0.0409,-14.712
intersection_7_13,0,0,-0.0406,-14.6177
intersection_7_14,0,0,-0.0643,-23.1573
intersection_7_15,0,0,-0.0719,-25.8854
intersection_7_16,0,0,-0.1126,-40.5536
intersection_7_17,0,0,-0.0656,-23.6188
intersection_7_18,1,1,-0.0459,-16.5172
intersection_7_19,0,0,-0.0863,-31.0542
intersection_7_20,1,0,-0.0697,-25.0896
intersection_7_21,0,0,-0.041,-14.751
intersection_7_22,0,0,-0.0483,-17.3896
intersection_7_23,1,0,-0.0513,-18.4766
intersection_7_24,0,0,-0.0135,-4.8594
intersection_7_25,1,1,-0.0231,-8.3276
intersection_7_26,1,0,-0.0144,-5.199
intersection_7_27,3,1,-0.0213,-7.6531
intersection_7_28,3,3,-0.0354,-12.7281
