junction_id,llm_calls,llm_overrides,mean_reward,total_reward
intersection_1_1,0,0,-0.1276,-45.9464
intersection_1_2,0,0,-0.0173,-6.2219
intersection_1_3,0,0,-0.0568,-20.4625
intersection_1_4,2,0,-0.0487,-17.5422
intersection_1_5,2,0,-0.1019,-36.701
intersection_1_6,2,0,-0.1037,-37.3281
intersection_1_7,3,0,-0.048,-17.2661
intersection_1_8,0,0,-0.07,-25.2068
intersection_1_9,2,0,-0.0697,-25.0901
intersection_1_10,1,0,-0.0867,-31.2193
intersection_1_11,4,0,-0.0679,-24.45
intersection_1_12,2,0,-0.0769,-27.701
intersection_1_13,2,0,-0.0471,-16.9589
intersection_1_14,2,0,-0.095,-34.1922
intersection_1_15,1,0,-0.0462,-16.6495
intersection_1_16,0,0,-0.0729,-26.2333
intersection_1_17,2,0,-0.0479,-17.2396
intersection_1_18,1,0,-0.0731,-26.3078
intersection_1_19,4,0,-0.0492,-17.6969
intersection_1_20,3,0,-0.0864,-31.1188
intersection_1_21,1,0,-0.034,-12.2531
intersection_1_22,2,0,-0.0799,-28.7557
intersection_1_23,3,0,-0.0593,-21.3557
intersection_1_24,0,0,-0.0514,-18.4974
intersection_1_25,1,0,-0.0304,-10.95
intersection_1_26,1,0,-0.0499,-17.9708
intersection_1_27,2,0,-0.0177,-6.3568
intersection_1_28,0,0,-0.1184,-42.6083
intersection_2_1,1,0,-0.163,-58.6797
intersection_2_2,1,0,-0.0142,-5.1094
intersection_2_3,1,0,-0.0189,-6.7906
intersection_2_4,4,0,-0.0052,-1.8708
intersection_2_5,1,0,-0.0718,-25.8349
intersection_2_6,4,0,-0.0153,-5.5083
intersection_2_7,0,0,-0.0625,-22.4865
intersection_2_8,2,0,-0.0086,-3.1031
intersection_2_9,1,0,-0.0763,-27.4786
intersection_2_10,2,0,-0.0468,-16.8578
intersection_2_11,1,0,-0.0829,-29.8401
intersection_2_12,1,0,-0.0571,-20.5729
intersection_2_13,0,0,-0.0713,-25.6828
intersection_2_14,1,0,-0.0783,-28.2026
intersection_2_15,1,0,-0.0925,-33.3089
intersection_2_16,2,0,-0.1337,-48.1411
intersection_2_17,0,0,-0.1046,-37.6401
intersection_2_18,1,0,-0.0369,-13.2854
intersection_2_19,1,0,-0.0965,-34.749
intersection_2_20,0,0,-0.0791,-28.4708
intersection_2_21,1,0,-0.0925,-33.3
intersection_2_22,0,0,-0.083,-29.8776
intersection_2_23,0,0,-0.0924,-33.2625
intersection_2_24,2,0,-0.1073,-38.6453
intersection_2_25,0,0,-0.0645,-23.2036
intersection_2_26,2,0,-0.0352,-12.6703
intersection_2_27,0,0,-0.0561,-20.188
intersection_2_28,0,0,-0.187,-67.3083
intersection_3_1,0,0,-0.1251,-45.0297
intersection_3_2,3,0,-0.0225,-8.0875
intersection_3_3,3,0,-0.0027,-0.9708
intersection_3_4,2,0,-0.0282,-10.1661
intersection_3_5,4,0,-0.0057,-2.0396
intersection_3_6,0,0,-0.028,-10.0813
intersection_3_7,5,0,-0.002,-0.713
intersection_3_8,0,0,-0.0828,-29.8099
intersection_3_9,4,0,-0.0159,-5.7188
intersection_3_10,1,0,-0.0471,-16.95
intersection_3_11,3,0,-0.0014,-0.499
intersection_3_12,0,0,-0.0108,-3.9047
intersection_3_13,7,0,-0.0004,-0.1432
intersection_3_14,1,0,-0.0011,-0.3948
intersection_3_15,2,0,-0.0017,-0.626
intersection_3_16,7,0,-0.0053,-1.8911
intersection_3_17,4,0,-0.0039,-1.4089
