junction_id,llm_calls,llm_overrides,mean_reward,total_reward
intersection_1_1,0,0,-0.1318,-47.4542
intersection_1_2,0,0,-0.0291,-10.463
intersection_1_3,0,0,-0.0465,-16.7245
intersection_1_4,2,1,-0.0433,-15.6016
intersection_1_5,2,0,-0.0998,-35.9245
intersection_1_6,0,0,-0.1022,-36.8094
intersection_1_7,4,1,-0.0448,-16.1313
intersection_1_8,3,0,-0.0753,-27.0922
intersection_1_9,3,0,-0.0718,-25.8464
intersection_1_10,3,0,-0.0927,-33.3625
intersection_1_11,1,0,-0.0476,-17.1339
intersection_1_12,1,0,-0.079,-28.4297
intersection_1_13,2,0,-0.0447,-16.1057
intersection_1_14,2,1,-0.0914,-32.8896
intersection_1_15,0,0,-0.0436,-15.7073
intersection_1_16,0,0,-0.0825,-29.6901
intersection_1_17,1,0,-0.0351,-12.6318
intersection_1_18,0,0,-0.0719,-25.8932
intersection_1_19,2,0,-0.0425,-15.3099
intersection_1_20,1,1,-0.0998,-35.9443
intersection_1_21,2,0,-0.0432,-15.5479
intersection_1_22,1,0,-0.0786,-28.3068
intersection_1_23,0,0,-0.0449,-16.1703
intersection_1_24,1,0,-0.0428,-15.4109
intersection_1_25,0,0,-0.0255,-9.1828
intersection_1_26,0,0,-0.0572,-20.5849
intersection_1_27,1,0,-0.0258,-9.2729
intersection_1_28,0,0,-0.1143,-41.1359
intersection_2_1,0,0,-0.1822,-65.599
intersection_2_2,2,0,-0.0196,-7.0708
intersection_2_3,1,0,-0.0152,-5.4807
intersection_2_4,2,0,-0.0076,-2.7458
intersection_2_5,0,0,-0.065,-23.4
intersection_2_6,2,0,-0.0198,-7.1146
intersection_2_7,0,0,-0.0652,-23.4797
intersection_2_8,3,0,-0.0316,-11.3906
intersection_2_9,0,0,-0.0706,-25.4083
intersection_2_10,4,0,-0.0377,-13.576
intersection_2_11,0,0,-0.0831,-29.912
intersection_2_12,5,2,-0.0505,-18.1901
intersection_2_13,0,0,-0.0734,-26.4286
intersection_2_14,0,0,-0.0469,-16.8911
intersection_2_15,1,0,-0.1093,-39.3516
intersection_2_16,1,0,-0.1492,-53.7266
intersection_2_17,1,1,-0.103,-37.0818
intersection_2_18,3,1,-0.0262,-9.4417
intersection_2_19,0,0,-0.0982,-35.3552
intersection_2_20,1,0,-0.0873,-31.4188
intersection_2_21,0,0,-0.0909,-32.7349
intersection_2_22,1,0,-0.0859,-30.9333
intersection_2_23,0,0,-0.0895,-32.2042
intersection_2_24,3,2,-0.1099,-39.5792
intersection_2_25,1,1,-0.0693,-24.9505
intersection_2_26,3,0,-0.0316,-11.3938
intersection_2_27,0,0,-0.0375,-13.4958
intersection_2_28,0,0,-0.201,-72.3724
intersection_3_1,0,0,-0.1201,-43.2203
intersection_3_2,2,0,-0.011,-3.974
intersection_3_3,5,0,-0.0059,-2.125
intersection_3_4,3,0,-0.0296,-10.6411
intersection_3_5,2,0,-0.0126,-4.524
intersection_3_6,0,0,-0.0216,-7.7604
intersection_3_7,3,0,-0.0049,-1.7547
intersection_3_8,0,0,-0.0763,-27.4682
intersection_3_9,1,0,-0.0067,-2.4229
intersection_3_10,0,0,-0.0607,-21.8609
intersection_3_11,2,0,-0.0013,-0.4635
intersection_3_12,1,0,-0.0144,-5.176
intersection_3_13,6,0,-0.001,-0.3625
intersection_3_14,4,0,-0.0027,-0.9698
intersection_3_15,4,0,-0.0007,-0.25
intersection_3_16,3,0,-0.0245,-8.8354
intersection_3_17,5,0,-0.0039,-1.3943
intersection_3_18,4,0,-0.0059,-2.1089
intersection_3_19,7,1,-0.0012,-0.4427
intersection_3_20,4,0,-0.0038,-1.362
intersection_3_21,5,0,-0.001,-0.3719
intersection_3_22,4,0,-0.0041,-1.4766
intersection_3_23,2,0,-0.004,-1.4536
intersection_3_24,4,0,-0.0145,-5.2042
intersection_3_25,2,0,-0.0038,-1.3807
intersection_3_26,1,1,-0.0053,-1.9125
intersection_3_27,3,0,-0.0027,-0.9641
intersection_3_28,1,0,-0.1595,-57.4172
intersection_4_1,0,0,-0.1752,-63.087
intersection_4_2,1,0,-0.0005,-0.1807
intersection_4_3,3,0,-0.0003,-0.099
intersection_4_4,4,0,-0.0003,-0.1214
intersection_4_5,0,0,-0.0015,-0.5495
intersection_4_6,6,0,-0.002,-0.7057
intersection_4_7,1,0,-0.0012,-0.4349
intersection_4_8,3,0,-0.0001,-0.0391
intersection_4_9,2,1,-0.0037,-1.3354
intersection_4_10,0,0,-0.0043,-1.5432
intersection_4_11,1,0,-0.0014,-0.513
intersection_4_12,2,0,-0.0055,-1.9823
intersection_4_13,5,0,-0.0055,-1.9682
intersection_4_14,4,1,-0.0042,-1.5271
intersection_4_15,5,0,-0.0009,-0.3156
intersection_4_16,5,1,-0.0007,-0.2536
intersection_4_17,7,0,-0.0026,-0.9516
intersection_4_18,4,0,-0.0029,-1.0417
intersection_4_19,5,1,-0.0007,-0.237
intersection_4_20,5,0,-0.001,-0.3755
intersection_4_21,4,0,-0.001,-0.3672
intersection_4_22,3,0,-0.0051,-1.8318
intersection_4_23,5,1,-0.0012,-0.4318
intersection_4_24,4,0,-0.0075,-2.7109
intersection_4_25,2,0,-0.0045,-1.6224
intersection_4_26,2,0,-0.0038,-1.3849
intersection_4_27,0,0,-0.0005,-0.1693
intersection_4_28,0,0,-0.1117,-40.2036
intersection_5_1,0,0,-0.111,-39.9531
intersection_5_2,1,0,-0.0025,-0.8953
intersection_5_3,4,0,-0.0047,-1.6948
intersection_5_4,4,0,-0.0049,-1.7589
intersection_5_5,6,1,-0.0027,-0.9839
