created_files,family,label,llm_calls,llm_calls_from_steps_last,llm_failures,llm_overrides,mean_reward,model,output_dir,override_rate_%,safety_adjustments,source_dir,step_mean_reward,steps,total_reward,total_sim_steps,wall_clock_s
18,base,4x4/data/output,132,132,132,0,,,replicated_plot_outputs\4x4\data\output,0.0,0,4x4\data\output,-0.10460936977360688,320,,320,
18,base,4x4/output,640,640,,208,,,replicated_plot_outputs\4x4\output,32.5,177,4x4\output,-0.03157226524890575,320,,320,
20,base,7x28/output,800,800,800,0,,,replicated_plot_outputs\7x28\output,0.0,0,7x28\output,-0.014436964440586463,1799,,1799,12382.5
20,cityflow,Hangzhou\4_4\safegat_cityflow_live_output,192,192,192,0,-19.69233512878418,,replicated_plot_outputs\Hangzhou\4_4\safegat_cityflow_live_output,0.0,0,Hangzhou\4_4\safegat_cityflow_live_output,-0.054700930906175116,360,-315.0773620605469,360,2865.4
20,cityflow,Jinan\3_4\safegat_cityflow_live_output,144,144,144,0,-59.21522903442383,,replicated_plot_outputs\Jinan\3_4\safegat_cityflow_live_output,0.0,0,Jinan\3_4\safegat_cityflow_live_output,-0.1644867621258729,360,-710.582763671875,360,2145.5
18,llm,LLM_outputs\4x4\llama-3.3-70b-versatile\output,154,154,120,9,,llama-3.3-70b-versatile,replicated_plot_outputs\LLM_outputs\4x4\llama-3.3-70b-versatile\output,5.84,9,LLM_outputs\4x4\llama-3.3-70b-versatile\output,-0.07255370989041694,320,,320,
18,llm,LLM_outputs\4x4\llama_3.1-8b-instant\output,320,320,0,135,,llama_3.1-8b-instant,replicated_plot_outputs\LLM_outputs\4x4\llama_3.1-8b-instant\output,42.19,135,LLM_outputs\4x4\llama_3.1-8b-instant\output,-0.031591796469365364,320,,320,
18,llm,LLM_outputs\4x4\meta-llamallama-4-scout-17b-16e-instruct\output,237,237,67,131,,meta-llamallama-4-scout-17b-16e-instruct,replicated_plot_outputs\LLM_outputs\4x4\meta-llamallama-4-scout-17b-16e-instruct\output,55.27,55,LLM_outputs\4x4\meta-llamallama-4-scout-17b-16e-instruct\output,-0.04621581969149702,320,,320,
18,llm,LLM_outputs\4x4\openaigpt-oss-120b\output,132,132,132,0,,openaigpt-oss-120b,replicated_plot_outputs\LLM_outputs\4x4\openaigpt-oss-120b\output,0.0,0,LLM_outputs\4x4\openaigpt-oss-120b\output,-0.10460936977360688,320,,320,
18,llm,LLM_outputs\4x4\qwenqwen3-32b\output,195,195,117,30,,qwenqwen3-32b,replicated_plot_outputs\LLM_outputs\4x4\qwenqwen3-32b\output,15.38,23,LLM_outputs\4x4\qwenqwen3-32b\output,-0.06345703042206878,320,,320,
